"genotype","openness","SE","df","asymp.LCL","asymp.UCL",".group"
"W1406-001",3.18085235920466,0.0655192502323957,Inf,3.05373306459936,3.31056380609848," a     "
"2014010-010",3.27514443723891,0.0664821267497108,Inf,3.14613789464591,3.40674304273603," a     "
"2014005-019",3.30145592720283,0.066760344610981,Inf,3.17190454215445,3.43360028422046," ab    "
"2014007-001",3.36266545496131,0.067363273099775,Inf,3.23193184756757,3.49599102588016," abc   "
"2014009-012",3.37425972066638,0.0674779025112529,Inf,3.24330138986846,3.50780990721718," abc   "
"2014009-046",3.44926136970772,0.0682270708457806,Inf,3.31683482339883,3.58428002665561," abcd  "
"2014009-034",3.62393046695762,0.0699299421181258,Inf,3.48816623233232,3.76228656831731,"  bcde "
"W1425-006",3.64921684739658,0.0701730076646676,Inf,3.51297619523875,3.78804933065795,"   cde "
"2014009-041",3.65862671669864,0.0702626327369234,Inf,3.52221037345948,3.79763483270615,"   cde "
"2014006-046",3.72015912210133,0.070849371736552,Inf,3.58259273114572,3.86031716500759,"    def"
"W1411-017",3.75623136531348,0.0711966133981814,Inf,3.61798455985067,3.89707015601399,"    def"
"2014009-010",3.75818435504938,0.0712125814455822,Inf,3.6199061604053,3.89905435016424,"    def"
"2014005-024",3.91978807349439,0.0727325577898243,Inf,3.77853095827822,4.06363734582129,"     ef"
"2014008-016",3.96706403869112,0.0731663422003312,Inf,3.82495659733935,4.11176338852572,"     ef"
"2014001-005",4.01535270131521,0.073614464289516,Inf,3.87236710344126,4.16093050093858,"      f"
